FrecEspacial,Orientation,Categoria,CorrectAns,Frecuencia,Orientacion,tecla,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating.started,grating.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,A,,6.211277113859689,125.83613903175356,left,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,98.8464339999482,None,left,1,0.28837530000600964,98.9465152999619,None,99.26239839999471,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.184349557153399,122.64618066553956,left,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,100.34670200000983,None,left,1,0.10182029998395592,100.44685850001406,None,100.58009289996698,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.3435716449781925,122.2744185012582,left,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,101.66291049995925,None,left,1,0.041083899908699095,101.76288129994646,None,101.8295704999473,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.172304806529708,127.9178410876162,left,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,102.91416409995873,None,left,1,0.14875349996145815,103.01451010000892,None,103.1806399000343,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.934487693555567,126.85012402267232,left,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,104.26408360002097,None,left,1,0.07120739994570613,104.36408610001672,None,104.46367349999491,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.956079418018876,127.5070998467788,left,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,105.54850429994985,None,left,1,0.08277019998058677,105.64841090003029,None,105.74834060005378,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.142996470494782,126.65790675310716,left,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,106.83129150001332,None,left,1,0.5848089000210166,106.9318132000044,None,107.54884990002029,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.477232725745194,132.9698737214029,left,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,108.63153599994257,None,left,1,0.1916749000083655,108.73163930000737,None,108.94893770001363,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.724699075577254,126.3385491381284,left,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,110.03252530004829,None,left,1,0.19049080007243901,110.13222579995636,None,110.34978769998997,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.1273914690727125,127.1655256565238,left,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,111.43303680000827,None,left,1,0.006417799973860383,111.53278889996,None,111.56603330001235,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.78253765455631,122.56577176763676,left,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,112.65105770004448,None,left,1,0.3564332000678405,112.75063809996936,None,113.13304280000739,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.967326880915936,125.60303163760436,left,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,114.21751420001965,None,left,1,0.07756199990399182,114.31779979995918,None,114.41763120004907,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.634910179546642,128.5035338995001,left,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,115.50081030000001,None,left,1,0.6028793000150472,115.60078390000854,None,116.23414890002459,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,6.182162291627922,124.93464200988198,left,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,117.31869179999921,None,left,1,0.4560251999646425,117.4187465000432,None,117.90118839999195,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
,,A,,5.991266836162781,119.02755224263416,left,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,118.98573790001683,None,left,1,0.7096281000413001,119.08586490002926,None,119.81939830002375,None,antonella23,001,2022-06-23_15h02.45.330,PruebaGabor2,2022.1.3,59.95333233369406,
