count,ptid,MoveTime,Compatibilidad,Grupo MoveTime
1967,425,287,1,Grupo A
1974,425,229,1,Grupo A
1977,425,280,0,Grupo A
1980,425,321,1,Grupo A
1981,425,221,1,Grupo A
1986,425,308,0,Grupo A
1990,425,275,0,Grupo A
1992,425,283,0,Grupo A
1997,425,288,0,Grupo A
2002,426,621,0,Grupo B
2003,426,823,0,Grupo B
2004,426,292,1,Grupo B
2010,426,439,1,Grupo B
2013,426,638,0,Grupo B
2014,426,560,0,Grupo B
2017,426,456,0,Grupo B
2021,426,445,0,Grupo B
2023,426,437,1,Grupo B
2024,426,525,1,Grupo B
2025,426,461,0,Grupo B
2026,426,430,0,Grupo B
2029,426,433,1,Grupo B
2032,426,436,0,Grupo B
2039,426,251,1,Grupo B
2041,426,323,1,Grupo B
2043,426,318,0,Grupo B
2046,426,358,0,Grupo B
2047,426,468,1,Grupo B
2049,426,166,1,Grupo B
2053,426,299,1,Grupo B
2058,426,540,0,Grupo B
2066,426,191,1,Grupo B
2069,426,439,0,Grupo B
2074,426,360,0,Grupo B
2077,426,430,0,Grupo B
2078,426,497,0,Grupo B
2079,426,511,0,Grupo B
2081,427,381,1,Grupo A
2083,427,271,1,Grupo A
2084,427,267,1,Grupo A
2085,427,329,1,Grupo A
2087,427,646,1,Grupo A
2088,427,302,1,Grupo A
2089,427,1140,1,Grupo A
2092,427,274,0,Grupo A
2095,427,301,1,Grupo A
2099,427,297,1,Grupo A
2101,427,257,0,Grupo A
2102,427,253,1,Grupo A
2103,427,193,0,Grupo A
2107,427,318,0,Grupo A
2109,427,238,0,Grupo A
2110,427,295,0,Grupo A
2111,427,241,0,Grupo A
2114,427,260,1,Grupo A
2118,427,334,0,Grupo A
2120,427,239,0,Grupo A
2123,427,304,0,Grupo A
2130,427,256,1,Grupo A
2131,427,278,0,Grupo A
2132,427,303,0,Grupo A
2134,427,297,1,Grupo A
2135,427,257,1,Grupo A
2136,427,293,0,Grupo A
2138,427,346,0,Grupo A
2140,427,314,1,Grupo A
2141,427,301,1,Grupo A
2143,427,646,1,Grupo A
2145,427,456,0,Grupo A
2147,427,357,1,Grupo A
2151,427,281,0,Grupo A
2153,427,294,0,Grupo A
2158,427,308,1,Grupo A
2160,427,312,1,Grupo A
2162,428,195,1,Grupo B
2163,428,341,0,Grupo B
2165,428,293,1,Grupo B
2166,428,335,1,Grupo B
2168,428,324,1,Grupo B
2170,428,377,1,Grupo B
2172,428,458,0,Grupo B
2175,428,403,0,Grupo B
2177,428,399,1,Grupo B
2179,428,315,1,Grupo B
2182,428,451,0,Grupo B
2183,428,613,1,Grupo B
2185,428,454,0,Grupo B
2186,428,485,1,Grupo B
2196,428,385,0,Grupo B
2197,428,415,1,Grupo B
2200,428,462,0,Grupo B
2201,428,427,1,Grupo B
2209,428,451,1,Grupo B
2210,428,474,0,Grupo B
2213,428,475,0,Grupo B
2218,428,388,0,Grupo B
2220,428,276,1,Grupo B
2226,428,421,0,Grupo B
2228,428,164,0,Grupo B
2229,428,437,0,Grupo B
2230,428,346,0,Grupo B
2231,428,359,1,Grupo B
