"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
74,0,401,3,74,1,1,0,1,241,1860,1390,34,"You sang Jenni a song"," 12/22/2016"," comprehension    "," n"," n"," n"
75,0,401,3,75,0,1,1,1,0,0,1537,64,"You devoted the song Jenni"," 12/22/2016"," comprehension    "," n"," n"," n"
76,0,401,3,76,0,0,1,1,0,0,1364,43,"Andrea heard you the chicken"," 12/22/2016"," comprehension    "," n"," n"," n"
77,0,401,3,77,1,0,0,1,227,1793,1647,16,"Dan confessed his secret to you"," 12/22/2016"," comprehension    "," n"," n"," n"
78,0,401,3,78,1,0,0,1,237,2290,1501,12,"Mike sold the land to you"," 12/22/2016"," comprehension    "," n"," n"," n"
79,0,401,3,79,1,1,1,1,0,0,1513,76,"You sugared Alex the floor"," 12/22/2016"," comprehension    "," n"," n"," n"
80,0,401,3,80,0,0,0,0,0,0,1233,6,"Diane threw you the pen"," 12/22/2016"," comprehension    "," n"," n"," n"
81,1,402,2,1,0,0,1,1,0,0,1291,45,"Courtney snuggled you the water"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
82,0,402,2,2,0,1,0,1,513,2161,1600,36,"You confessed your secret to Dan"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
83,0,402,2,3,1,1,1,1,0,0,1648,75,"You sneezed baseball to Shawn"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
84,0,402,2,4,1,1,0,1,637,1928,1422,23,"You dealt the cards to Mark"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
85,0,402,2,5,0,1,1,0,834,1937,1403,61,"You bestowed the message Mike"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
86,0,402,2,6,0,0,1,1,0,0,1314,41,"Al poured the horse to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
87,0,402,2,7,1,0,0,1,635,1952,1489,3,"Jack kicked the football to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
88,0,402,2,8,0,1,0,1,584,1989,1270,38,"You paid Amanda tribute"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
89,0,402,2,9,1,0,0,1,445,1706,1396,6,"Christine bought you ice cream"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
90,0,402,2,10,1,1,0,0,0,0,1364,29,"You rolled Mike the marble"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
91,0,402,2,11,0,0,1,1,0,0,1364,43,"Andrea heard you the chicken"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
92,0,402,2,12,0,0,0,1,576,1902,1390,18,"Your sister blew you a kiss"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
93,0,402,2,13,0,1,0,0,0,0,2034,35,"You transferred responsibility to Anna"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
94,0,402,2,14,1,0,1,1,0,0,1268,52,"Katie ate the pizza to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
