Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,key_resp.rt,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4.13144345266853,334,A,left,0.020657217263342652,,,,,0,67,67,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.97978970000986,None,left,1,394.0792316000443,None,395.0463183999527,None,0.9414789999136701,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.37272131308695,241,A,left,0.02186360656543475,,,,,0,68,68,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.130005300045,None,left,1,396.23011310002767,None,397.0135528999381,None,0.7505679000169039,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.33628194746762,284,B,right,0.0316814097373381,,,,,0,69,69,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.09734820004087,None,right,1,398.19749759999104,None,399.28090809995774,None,1.0633281000191346,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.0984079274131,120,A,left,0.0204920396370655,,,,,0,70,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.36457189999055,None,left,1,400.4646254000254,None,401.4483786999481,None,0.9562694999622181,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.40120818269373,47,B,right,0.03200604091346865,,,,,0,71,71,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.5321213999996,None,right,1,402.63223590003327,None,403.59905449999496,None,0.9487201999872923,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.01824543709285,261,A,left,0.02009122718546425,,,,,0,72,72,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.68272639997303,None,left,1,404.78289050003514,None,405.6497078000102,None,0.8464768999256194,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.28962952477337,146,B,right,0.03144814762386685,,,,,0,73,73,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.73351539997384,None,right,1,406.8335725000361,None,407.73368770000525,None,0.8831424999516457,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.49094389342984,261,B,right,0.0324547194671492,,,,,0,74,74,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.81828829995357,None,right,1,408.9173382000299,None,409.76752340001985,None,0.8231324999360368,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.17914595645161,315,A,left,0.02089572978225805,,,,,0,75,75,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.8513048000168,None,left,1,410.9512767000124,None,411.8514451000374,None,0.869485400035046,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.33065752051542,304,B,right,0.0316532876025771,,,,,0,76,76,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.9351619000081,None,right,1,413.0353206000291,None,414.11897569999564,None,1.0654699000297114,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
6.62867668089434,306,B,right,0.0331433834044717,,,,,0,77,77,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.20286359998863,None,right,1,415.3027275999775,None,416.3030723000411,None,0.9815730000846088,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.15794317699058,41,A,left,0.0207897158849529,,,,,0,78,78,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.3868169999914,None,left,1,417.4867583999876,None,418.470199399977,None,0.965903399977833,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
4.43442134980125,89,A,left,0.02217210674900625,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.55415410001297,None,left,1,419.65406780003104,None,420.90412940003444,None,1.2220396000193432,,,,,SheilaSeptiembre,001,2022-09-22_15h47.39.938,PruebaGabor2,2022.1.3,60.050827015521115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.4716686999891,None,422.4716686999891,None,,,,,,,
