Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,KeyRespPrueba.rt,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.52075126243115,123.72341354159,E,left,0.027603756312155753,12,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.6829515,None,left,1,0.23550919999996722,246.78305340000003,None,247.0497754,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.8665988200787,125.853730678291,E,left,0.0293329941003935,13,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.13353380000007,None,left,1,1.001191399999982,248.23354009999997,None,249.26713079999996,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.37386481574254,126.306325176555,F,right,0.036869324078712705,14,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.35083390000005,None,right,1,0.5198619000000804,250.4509403,None,251.00116410000004,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.96688980474568,123.797748594863,E,left,0.0298344490237284,15,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.08454490000003,None,left,1,0.9940528999999856,252.1847568,None,253.20184039999998,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.7013744269325,128.137344407076,E,left,0.028506872134662502,16,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.28555090000003,None,left,1,0.650230800000088,254.38537730000002,None,255.05225409999997,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.58545731939056,125.288952448838,F,right,0.0329272865969528,17,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.1360656,None,right,1,0.5418765000000008,256.2367955,None,256.8025224,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.9502117142683,130.040868197316,E,left,0.0297510585713415,18,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.8862919,None,left,1,1.001114300000097,257.98632060000006,None,259.02048570000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.88953147079655,126.051099538978,F,right,0.03444765735398275,19,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.1038318,None,right,1,0.527997599999992,260.2035526,None,260.7547507,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.91111146124838,123.732709570874,E,left,0.0295555573062419,20,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.83746490000004,None,left,1,0.6023243000000207,261.93750890000007,None,262.57128130000007,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.99093214046861,123.997920213209,F,right,0.03495466070234305,21,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.65497010000007,None,right,1,0.5916978000000768,263.75508859999997,None,264.37201110000007,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
5.82216087353878,125.36108174198,E,left,0.0291108043676939,22,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.45542600000005,None,left,1,0.44716869999996334,265.5553558,None,266.02235320000005,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
6.16927851208027,124.634772531809,E,left,0.03084639256040135,23,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.10607899999997,None,left,1,0.7490163000000507,267.205982,None,267.9730913,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
7.10714202626223,125.130423058653,F,right,0.035535710131311155,24,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.05670019999997,None,right,1,0.4303922999999372,269.15662860000003,None,269.60696939999997,None,,,,,JuanSaavedra,001,2022-12-06_13h27.22.241,PruebaGabor2,2022.1.3,59.975625905633486,
