Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.95899070007727,None,space,7.235886599868536,223.4611124000512,None,,,,,,,,,,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.12863571896243,154,A,left,0.02064317859481215,,,,,0,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.8123558999505,None,left,1,1.7537269997410476,230.91132039995864,None,232.69591320003383,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.80175996963697,12,B,right,0.034008799848184855,,,,,0,1,1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.7789036000613,None,right,1,1.9061506998259574,233.87894339999184,None,235.8128329999745,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.52310613509206,264,B,right,0.032615530675460296,,,,,0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.89637430012226,None,right,1,0.6052017998881638,236.99633900006302,None,237.6309722000733,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.53675080106847,282,B,right,0.03268375400534235,,,,,0,3,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.73008550005034,None,right,1,0.5391349997371435,238.83021389995702,None,239.39701850013807,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.33065752051542,304,B,right,0.0316532876025771,,,,,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.48114409996197,None,right,1,0.46092019975185394,240.58099970011972,None,241.06454359996133,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.57678796817801,339,A,left,0.02288393984089005,,,,,0,5,5,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.14821070013568,None,left,1,0.4893567997496575,242.24824220011942,None,242.76500619994476,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.71184080000894,56,B,right,0.033559204000044696,,,,,0,6,6,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8487031001132,None,right,1,0.5180592997930944,243.94862690009177,None,244.49877190007828,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
4.1779342846006,292,A,left,0.020889671423003,,,,,0,7,7,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.58262609993108,None,left,1,0.6465454997960478,245.68264229991473,None,246.3497518999502,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
6.28903893488972,324,B,right,0.0314451946744486,,,,,0,8,8,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.43320269999094,None,right,1,0.4362735999748111,247.53308239998296,None,247.99993290007114,None,,,,,PameSeptiembre,001,2022-09-27_15h54.17.503,PruebaGabor2,2022.1.3,59.95070855688744,
