"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",Grupo,,
173,0,403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",464,Grupo A,,
175,0,403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",904,Grupo A,,
178,0,403,4,18,1,0,0,1,416,3980,1579,5,"Katie handed the puppy to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",2401,Grupo A,,
181,0,403,4,21,1,1,0,1,451,2049,1439,26,"You bought Christine ice cream","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",610,Grupo A,,
183,0,403,4,23,1,0,0,1,1133,2031,1623,8,"Shawn shot you the rubber band","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",408,Grupo A,,
184,0,403,4,24,1,1,0,1,395,2002,1321,24,"You drove the car to Amber","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",681,Grupo A,,
187,0,403,4,27,0,1,0,1,293,2857,1507,40,"You pitched Andy the idea","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",1350,Grupo A,,
189,0,403,4,29,0,1,0,1,383,1992,1639,33,"You dedicated the song to John","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",353,Grupo A,,
193,0,403,4,33,1,0,0,1,524,1990,1233,6,"Diane threw you the pen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",757,Grupo A,,
194,0,403,4,34,0,0,0,1,336,2158,1874,13,"Sara transmitted the orders to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",284,Grupo A,,
200,0,403,4,40,1,1,0,1,476,2042,1483,23,"You kicked the football to Jack","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",559,Grupo A,,
202,0,403,4,42,0,0,0,1,637,2314,1304,18,"Amanda paid you tribute","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",1010,Grupo A,,
204,0,403,4,44,1,1,0,1,486,1925,1681,21,"You delivered the Pizza to Andy","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",244,Grupo A,,
206,0,403,4,46,0,0,0,1,386,1860,1371,20,"Your family sent you regards","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",489,Grupo A,,
209,0,403,4,49,0,0,0,1,435,1534,1002,11,"Heather slipped you a note","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",532,Grupo A,,
211,0,403,4,51,0,1,0,1,328,1913,1126,39,"You taught him a lesson","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",787,Grupo A,,
212,0,403,4,52,1,1,0,1,240,1715,1485,22,"You awarded a medal to Helen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",230,Grupo A,,
221,0,403,4,61,0,0,0,1,384,2852,2184,14,"The policeman radioed the message to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n",668,Grupo A,,
