"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
161,1,403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance",189,0,Grupo A,Grupo A,Grupo B
162,0,403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you",216,0,Grupo A,Grupo A,Grupo B
165,0,403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips",441,0,Grupo A,Grupo A,Grupo B
166,0,403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana",581,0,Grupo A,Grupo A,Grupo B
170,0,403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art",751,0,Grupo A,Grupo A,Grupo B
172,0,403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian",1485,1,Grupo A,Grupo A,Grupo B
173,0,403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball",464,0,Grupo A,Grupo A,Grupo B
175,0,403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball",904,1,Grupo A,Grupo A,Grupo B
178,0,403,4,18,1,0,0,1,416,3980,1579,5,"Katie handed the puppy to you",2401,0,Grupo A,Grupo A,Grupo B
181,0,403,4,21,1,1,0,1,451,2049,1439,26,"You bought Christine ice cream",610,1,Grupo A,Grupo A,Grupo B
183,0,403,4,23,1,0,0,1,1133,2031,1623,8,"Shawn shot you the rubber band",408,0,Grupo A,Grupo A,Grupo B
184,0,403,4,24,1,1,0,1,395,2002,1321,24,"You drove the car to Amber",681,1,Grupo A,Grupo A,Grupo B
187,0,403,4,27,0,1,0,1,293,2857,1507,40,"You pitched Andy the idea",1350,0,Grupo A,Grupo A,Grupo B
189,0,403,4,29,0,1,0,1,383,1992,1639,33,"You dedicated the song to John",353,0,Grupo A,Grupo A,Grupo B
193,0,403,4,33,1,0,0,1,524,1990,1233,6,"Diane threw you the pen",757,0,Grupo A,Grupo A,Grupo B
194,0,403,4,34,0,0,0,1,336,2158,1874,13,"Sara transmitted the orders to you",284,1,Grupo A,Grupo A,Grupo B
200,0,403,4,40,1,1,0,1,476,2042,1483,23,"You kicked the football to Jack",559,1,Grupo A,Grupo A,Grupo B
202,0,403,4,42,0,0,0,1,637,2314,1304,18,"Amanda paid you tribute",1010,1,Grupo A,Grupo A,Grupo B
204,0,403,4,44,1,1,0,1,486,1925,1681,21,"You delivered the Pizza to Andy",244,1,Grupo A,Grupo A,Grupo B
206,0,403,4,46,0,0,0,1,386,1860,1371,20,"Your family sent you regards",489,1,Grupo A,Grupo A,Grupo B
209,0,403,4,49,0,0,0,1,435,1534,1002,11,"Heather slipped you a note",532,1,Grupo A,Grupo A,Grupo B
211,0,403,4,51,0,1,0,1,328,1913,1126,39,"You taught him a lesson",787,0,Grupo A,Grupo A,Grupo B
212,0,403,4,52,1,1,0,1,240,1715,1485,22,"You awarded a medal to Helen",230,1,Grupo A,Grupo A,Grupo B
