"ID","CueDirection","SentenceDirection","MoveTime","Grupo","SentDur"
408,1,1,306,Grupo A,1567
408,1,0,275,Grupo A,1503
408,0,0,296,Grupo A,1369
408,1,0,256,Grupo A,1489
408,0,1,270,Grupo A,1310
408,0,0,251,Grupo A,1022
409,0,0,683,Grupo B,1501
409,0,0,538,Grupo B,1277
409,0,1,615,Grupo B,1635
409,1,1,505,Grupo B,1321
409,1,0,469,Grupo B,1693
409,0,0,729,Grupo B,1304
409,0,0,993,Grupo B,2184
409,1,0,494,Grupo B,1523
409,0,1,715,Grupo B,1507
409,0,1,665,Grupo B,1579
409,1,1,534,Grupo B,1485
409,1,0,554,Grupo B,1579
409,0,0,707,Grupo B,1874
409,0,0,906,Grupo B,1647
409,1,1,746,Grupo B,1439
409,0,0,530,Grupo B,2138
409,1,1,530,Grupo B,1681
409,0,0,595,Grupo B,1002
409,0,1,728,Grupo B,1126
409,1,0,444,Grupo B,1460
409,1,1,576,Grupo B,2109
409,1,0,453,Grupo B,1473
409,1,1,552,Grupo B,1744
409,1,1,425,Grupo B,1746
409,0,1,728,Grupo B,1837
409,0,0,473,Grupo B,1371
409,0,1,437,Grupo B,1390
409,0,1,497,Grupo B,1639
409,0,0,539,Grupo B,1724
409,1,1,633,Grupo B,1293
409,1,0,360,Grupo B,1623
409,1,0,416,Grupo B,1646
409,1,1,422,Grupo B,1511
409,1,0,418,Grupo B,1347
409,1,0,505,Grupo B,1684
409,1,1,416,Grupo B,1483
410,0,0,245,Grupo B,1390
410,0,0,253,Grupo B,1508
410,0,1,208,Grupo B,1310
410,0,0,260,Grupo B,1369
410,1,0,247,Grupo B,1926
410,0,1,235,Grupo B,2034
410,0,0,216,Grupo B,1472
410,1,0,243,Grupo B,1322
410,0,1,287,Grupo B,1856
410,1,1,506,Grupo B,1936
410,0,1,496,Grupo B,1724
410,1,1,1543,Grupo B,1427
410,1,1,174,Grupo B,1620
410,1,0,497,Grupo B,1396
410,0,1,220,Grupo B,2065
410,0,1,307,Grupo B,1270
410,1,0,283,Grupo B,1559
410,0,0,356,Grupo B,1746
410,1,1,836,Grupo B,1637
410,1,1,2492,Grupo B,1422
410,0,0,202,Grupo B,1696
410,0,0,263,Grupo B,1698
410,0,1,101,Grupo B,1407
410,1,1,301,Grupo B,1645
410,1,0,158,Grupo B,1503
410,0,0,87,Grupo B,1805
410,1,0,433,Grupo B,1875
410,1,0,250,Grupo B,1534
410,1,1,66,Grupo B,1364
410,1,1,172,Grupo B,1567
410,0,1,178,Grupo B,1371
410,0,1,366,Grupo B,1600
411,1,1,176,Grupo B,1635
411,1,0,206,Grupo B,1002
411,0,0,270,Grupo B,1693
411,1,0,186,Grupo B,1371
411,1,1,233,Grupo B,1126
411,0,1,226,Grupo B,1483
411,0,1,246,Grupo B,1681
411,0,0,397,Grupo B,1623
411,1,1,316,Grupo B,1390
411,1,0,239,Grupo B,1647
411,1,0,272,Grupo B,1277
411,0,1,581,Grupo B,2109
411,0,1,318,Grupo B,1746
411,0,1,203,Grupo B,1439
411,1,1,226,Grupo B,1647
411,0,1,263,Grupo B,1511
411,0,0,198,Grupo B,1579
411,0,0,229,Grupo B,1460
411,0,1,265,Grupo B,1293
411,1,0,269,Grupo B,2184
411,0,0,297,Grupo B,1523
411,1,0,310,Grupo B,1304
411,0,1,261,Grupo B,1321
411,0,0,269,Grupo B,1473
411,0,0,273,Grupo B,1684
411,1,0,289,Grupo B,2138
411,1,1,337,Grupo B,1507
411,1,1,5239,Grupo B,1579
411,1,0,256,Grupo B,1501
411,1,0,298,Grupo B,1874
411,0,0,300,Grupo B,1646
411,1,1,255,Grupo B,1307
411,0,0,302,Grupo B,1347
411,0,0,304,Grupo B,1233
411,1,0,257,Grupo B,1724
411,1,1,241,Grupo B,1639
411,1,1,248,Grupo B,1837
412,0,1,218,Grupo B,1567
412,1,0,289,Grupo B,1369
412,1,0,305,Grupo B,1022
412,0,1,673,Grupo B,1634
412,0,0,326,Grupo B,1489
412,1,1,395,Grupo B,2034
412,1,1,370,Grupo B,1310
412,1,0,432,Grupo B,1733
412,1,0,457,Grupo B,1698
412,1,1,417,Grupo B,1407
412,0,0,212,Grupo B,1503
412,0,1,305,Grupo B,1620
412,1,1,413,Grupo B,1182
412,0,1,296,Grupo B,1364
412,0,0,282,Grupo B,1322
412,1,0,297,Grupo B,1508
412,0,1,483,Grupo B,1186
412,0,0,255,Grupo B,1875
412,0,0,201,Grupo B,1534
412,0,1,311,Grupo B,1427
412,1,1,84,Grupo B,1600
412,1,1,348,Grupo B,1371
412,0,0,407,Grupo B,1704
412,0,0,298,Grupo B,1396
412,0,1,340,Grupo B,1645
412,1,1,505,Grupo B,1856
412,1,1,392,Grupo B,1724
412,0,0,325,Grupo B,1559
412,0,0,480,Grupo B,1926
412,1,0,593,Grupo B,1390
412,0,1,412,Grupo B,1637
412,0,0,285,Grupo B,1433
412,1,0,693,Grupo B,1472
412,1,0,343,Grupo B,1696
412,0,1,298,Grupo B,1422
413,1,0,245,Grupo A,1647
413,0,1,256,Grupo A,1744
413,0,0,252,Grupo A,1623
413,0,0,302,Grupo A,1233
413,0,1,252,Grupo A,2109
413,0,0,319,Grupo A,1347
413,1,1,261,Grupo A,1126
413,0,0,336,Grupo A,1646
413,1,1,335,Grupo A,1579
413,1,0,224,Grupo A,1501
413,0,0,322,Grupo A,1579
413,1,0,259,Grupo A,1724
413,0,0,243,Grupo A,1523
413,1,0,268,Grupo A,1304
413,0,1,315,Grupo A,1293
413,0,0,363,Grupo A,1684
413,1,1,230,Grupo A,1639
413,0,1,951,Grupo A,1485
413,0,1,263,Grupo A,1483
413,0,0,458,Grupo A,1473
413,1,1,706,Grupo A,1507
413,1,0,270,Grupo A,1002
413,0,1,323,Grupo A,1511
413,0,1,356,Grupo A,1681
413,1,1,325,Grupo A,1307
413,1,1,424,Grupo A,1390
413,1,0,257,Grupo A,2138
413,1,1,255,Grupo A,1837
413,1,0,318,Grupo A,1874
413,1,1,308,Grupo A,1635
413,0,1,218,Grupo A,1321
413,1,1,370,Grupo A,1647
413,0,1,374,Grupo A,1439
413,1,0,359,Grupo A,1277
413,1,0,368,Grupo A,2184
414,0,0,211,Grupo B,1371
414,0,0,2571,Grupo B,1647
414,0,1,217,Grupo B,1837
414,1,1,208,Grupo B,2109
414,0,0,263,Grupo B,1277
414,0,1,181,Grupo B,1579
414,1,0,202,Grupo B,1623
414,1,1,243,Grupo B,1321
414,1,0,231,Grupo B,1473
414,0,0,278,Grupo B,1874
414,0,0,257,Grupo B,1501
414,0,1,383,Grupo B,1639
414,1,1,256,Grupo B,1511
414,1,0,297,Grupo B,1347
414,1,1,220,Grupo B,1681
414,1,0,247,Grupo B,1579
414,0,0,200,Grupo B,2138
414,0,1,200,Grupo B,1390
414,0,1,198,Grupo B,1635
414,0,1,138,Grupo B,1126
415,1,1,322,Grupo A,1724
415,1,0,355,Grupo A,1022
415,1,0,239,Grupo A,1698
415,1,0,236,Grupo A,1390
415,1,1,339,Grupo A,1270
415,1,1,338,Grupo A,1371
415,1,0,306,Grupo A,1369
415,0,0,329,Grupo A,1489
415,1,1,271,Grupo A,1407
415,0,0,248,Grupo A,1503
415,1,0,256,Grupo A,1508
415,0,0,160,Grupo A,1926
415,1,1,214,Grupo A,1856
415,1,0,240,Grupo A,1733
415,0,1,302,Grupo A,1186
415,1,0,269,Grupo A,1696
415,0,0,213,Grupo A,1534
415,0,0,255,Grupo A,1396
415,0,1,194,Grupo A,1637
415,1,1,289,Grupo A,1310
415,0,0,262,Grupo A,1704
415,0,1,207,Grupo A,1567
415,0,1,169,Grupo A,1645
415,1,1,285,Grupo A,2065
415,1,1,257,Grupo A,1600
415,0,1,183,Grupo A,1634
415,0,0,211,Grupo A,1559
415,0,1,204,Grupo A,1427
415,1,0,248,Grupo A,1746
415,0,0,160,Grupo A,1322
416,0,0,220,Grupo A,1733
416,0,1,190,Grupo A,1600
416,0,0,188,Grupo A,1805
416,1,1,176,Grupo A,1637
416,0,0,215,Grupo A,1369
416,0,1,187,Grupo A,2034
416,0,1,194,Grupo A,1270
416,0,0,201,Grupo A,1022
416,0,1,201,Grupo A,1371
416,1,1,222,Grupo A,1567
416,0,1,257,Grupo A,1310
416,1,0,238,Grupo A,1704
416,1,1,183,Grupo A,1620
416,0,0,262,Grupo A,1746
416,1,1,296,Grupo A,1427
416,1,0,223,Grupo A,1503
416,1,0,240,Grupo A,1534
416,0,0,235,Grupo A,1508
416,0,1,221,Grupo A,2065
416,1,0,256,Grupo A,1433
416,1,1,251,Grupo A,1634
416,0,0,259,Grupo A,1696
416,0,0,268,Grupo A,1472
416,1,0,245,Grupo A,1322
416,0,1,314,Grupo A,1724
416,1,1,284,Grupo A,1645
416,1,0,268,Grupo A,1559
416,0,0,296,Grupo A,1698
416,1,0,226,Grupo A,1926
416,1,1,275,Grupo A,1186
416,0,1,299,Grupo A,1856
416,1,0,256,Grupo A,1396
416,0,1,283,Grupo A,1407
417,0,1,347,Grupo A,1390
417,0,1,216,Grupo A,1126
417,0,0,200,Grupo A,1647
