"ptid","CueDirection","SentenceDirection","LiftOffLatency","Grupo","SentDur"
418,0,0,1906,Grupo A,1696
418,0,1,1599,Grupo A,1270
418,0,0,2165,Grupo A,1733
418,1,1,1789,Grupo A,1427
418,1,0,2210,Grupo A,1489
418,0,0,1598,Grupo A,1698
418,0,0,1442,Grupo A,1022
418,0,1,1671,Grupo A,1407
418,1,1,1682,Grupo A,1186
418,0,0,2015,Grupo A,1746
418,0,1,2594,Grupo A,1724
418,1,0,1811,Grupo A,1503
418,1,0,1975,Grupo A,1559
418,0,1,2127,Grupo A,1310
418,0,1,1662,Grupo A,1182
418,0,0,1807,Grupo A,1369
418,1,1,2209,Grupo A,1567
418,1,0,2777,Grupo A,1926
418,1,0,1775,Grupo A,1396
418,1,0,1671,Grupo A,1322
418,1,0,2323,Grupo A,1704
419,0,0,1957,Grupo A,1704
419,1,0,1962,Grupo A,1696
419,1,1,2369,Grupo A,2065
419,0,1,1900,Grupo A,1645
419,0,1,1930,Grupo A,1634
419,0,0,1800,Grupo A,1396
419,1,0,1781,Grupo A,1472
419,1,1,2462,Grupo A,2034
419,1,0,1616,Grupo A,1698
419,1,0,1475,Grupo A,1022
419,1,1,1984,Grupo A,1371
419,1,1,2731,Grupo A,1724
419,1,0,1895,Grupo A,1390
419,0,1,2427,Grupo A,1637
419,0,0,1770,Grupo A,1559
419,0,0,1696,Grupo A,1503
419,1,1,1742,Grupo A,1407
419,1,0,1940,Grupo A,1746
419,1,0,1821,Grupo A,1508
419,0,1,1949,Grupo A,1186
419,0,0,1795,Grupo A,1489
419,1,1,1992,Grupo A,1600
419,1,1,2058,Grupo A,1856
419,1,0,1777,Grupo A,1369
419,1,1,1574,Grupo A,1310
419,0,1,2106,Grupo A,1567
420,0,0,1977,Grupo A,1684
420,1,1,2173,Grupo A,1837
420,0,0,1910,Grupo A,1347
420,0,0,2096,Grupo A,1473
420,0,1,1791,Grupo A,1439
420,1,1,1894,Grupo A,1507
420,1,0,1617,Grupo A,1277
420,1,1,1916,Grupo A,1390
420,1,1,2115,Grupo A,1579
420,0,1,2225,Grupo A,1744
420,1,0,2472,Grupo A,2138
420,1,0,1779,Grupo A,1304
420,1,1,1419,Grupo A,1126
420,1,0,1831,Grupo A,1501
420,1,1,2087,Grupo A,1647
420,1,0,2139,Grupo A,1874
420,1,0,2560,Grupo A,2184
420,1,0,1501,Grupo A,1647
420,1,0,1668,Grupo A,1002
420,1,0,2028,Grupo A,1724
420,0,0,2177,Grupo A,1523
420,0,1,1579,Grupo A,1321
420,0,1,2054,Grupo A,1746
420,1,0,1805,Grupo A,1371
420,0,1,2146,Grupo A,1511
420,1,1,1766,Grupo A,1796
420,0,0,1908,Grupo A,1579
