Frecuencia,Orientacion,Categoria,Tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.50918635456267,90.0137058631216,B,right,0.027545931772813347,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,78.17237109993584,None,right,1,0.9802343999035656,78.27250999992248,None,79.27281240001321,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.57023279417167,92.1643276735946,B,right,0.027851163970858347,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,80.35646549996454,None,right,1,1.2443086999701336,80.45648569997866,None,81.72339109994937,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.46429459043236,89.3154631398487,B,right,0.027321472952161797,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,82.8069903999567,None,right,1,0.6176021000137553,82.90776129998267,None,83.55747160001192,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.98917060886976,94.8090586199345,A,left,0.029945853044348797,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,84.641132599907,None,left,1,0.9677270000101998,84.74105369998142,None,85.74146229994949,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.07988871498634,97.3637431794502,A,left,0.030399443574931698,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,86.82505639991723,None,left,1,1.183830299996771,86.92598029994406,None,88.14194639993366,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.06809732232289,97.1486796023212,A,left,0.03034048661161445,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,89.2254043999128,None,left,1,0.727467600023374,89.32524289994035,None,90.07574010000098,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.03627438164869,94.85500940960489,A,left,0.03018137190824345,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,91.15943759994116,None,left,1,0.8020791999297217,91.25947639998049,None,92.09264119993895,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.64094372630245,94.0841477651347,B,right,0.028204718631512252,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,93.17677229992114,None,left,0,1.143218700075522,93.27665149990935,None,94.4450301999459,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.59070784402317,91.6874461343928,B,right,0.02795353922011585,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,95.54411419993266,None,right,1,1.6238044999772683,95.64426909992471,None,97.2955767000094,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.04499943525327,96.842678460271,A,left,0.03022499717626635,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,98.37825389998034,None,left,1,0.8304623001022264,98.4783243999118,None,99.32854859996587,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
