"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
84,0,"Grupo A",402,2,4,1,1,0,1,637,1928,1422,23,"You dealt the cards to Mark","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",506,NA,"","",1,NA,NA,NA
87,0,"Grupo A",402,2,7,1,0,0,1,635,1952,1489,3,"Jack kicked the football to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",463,NA,"","",0,NA,NA,NA
88,0,"Grupo A",402,2,8,0,1,0,1,584,1989,1270,38,"You paid Amanda tribute","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",719,NA,"","",0,NA,NA,NA
89,0,"Grupo A",402,2,9,1,0,0,1,445,1706,1396,6,"Christine bought you ice cream","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",310,NA,"","",0,NA,NA,NA
92,0,"Grupo A",402,2,12,0,0,0,1,576,1902,1390,18,"Your sister blew you a kiss","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",512,NA,"","",1,NA,NA,NA
95,0,"Grupo A",402,2,15,0,1,0,1,643,2064,1856,33,"You transmitted the orders to Sara","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",208,NA,"","",0,NA,NA,NA
99,0,"Grupo A",402,2,19,0,1,0,1,491,1648,1182,31,"You slipped Heather a note","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",466,NA,"","",0,NA,NA,NA
100,0,"Grupo A",402,2,20,1,1,0,1,435,1691,1427,30,"You poured your dad some water","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",264,NA,"","",1,NA,NA,NA
103,0,"Grupo A",402,2,23,1,0,0,1,497,3150,1875,5,"Kelly dispensed the rations to you","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",1275,NA,"","",0,NA,NA,NA
104,0,"Grupo A",402,2,24,1,1,0,1,334,2079,1567,25,"You handed the puppy to Katie","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",512,NA,"","",1,NA,NA,NA
105,0,"Grupo A",402,2,25,1,0,0,1,375,2393,1926,7,"Sally slid you the cafeteria tray","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",467,NA,"","",0,NA,NA,NA
109,0,"Grupo A",402,2,29,0,1,0,1,484,1786,1310,39,"You told Liz the story","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",476,NA,"","",0,NA,NA,NA
110,0,"Grupo A",402,2,30,1,0,0,1,940,2155,1322,9,"Paul hit you the baseball","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",833,NA,"","",0,NA,NA,NA
117,0,"Grupo A",402,2,37,0,0,0,1,487,2063,1508,17,"Chris offered you some writing tips","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",555,NA,"","",1,NA,NA,NA
119,0,"Grupo A",402,2,39,1,1,0,1,478,1948,1634,24,"You entrusted the key to Jeff","12/27/2016","it was about how much atention i had to pay to get the answers right","n","y","n",314,NA,"","",1,NA,NA,NA
