Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.82656905934969,93.6826596207915,B,right,0.03413284529674845,4,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,85.21729580010287,None,right,1,0.5574658000841737,85.31762339989655,None,85.90151100000367,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.71928484592194,95.3620858357987,B,right,0.0335964242296097,5,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,86.98617210006341,None,right,1,1.0930391000583768,87.08616729988717,None,88.20427029998973,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.83743003953769,97.7344243139596,B,right,0.03418715019768845,6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,89.28895680001006,None,right,1,0.7263464999850839,89.38879740005359,None,90.1398157000076,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.78925783561738,94.3501297535519,B,right,0.0339462891780869,7,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,91.22436679992825,None,right,1,0.8956939000636339,91.3245679999236,None,92.2424196000211,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.68501230055945,153.224921516067,A,left,0.02842506150279725,8,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,93.32671849988401,None,left,1,1.0485012999270111,93.4267643999774,None,94.49469380010851,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.83048530467933,98.4125588764928,B,right,0.03415242652339665,9,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,95.57927819993347,None,right,1,1.275362699991092,95.67988629988395,None,96.9815475998912,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.8313068904997,97.9845524463792,B,right,0.0341565344524985,10,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,98.06503190007061,None,left,0,1.5014917999505997,98.16556479991414,None,99.6844979999587,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.81614535800323,93.5248046035692,B,right,0.03408072679001615,11,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,100.76875899988227,None,left,0,0.533994099823758,100.86860790010542,None,101.41945359995589,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.74646763832918,98.1959469530605,B,right,0.0337323381916459,12,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,102.5039592999965,None,right,1,0.27916899998672307,102.60417210008018,None,102.90433109994046,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.72202624735968,96.975585342811,B,right,0.0336101312367984,13,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,103.98916119989008,None,right,1,0.5937306999694556,104.08920600009151,None,104.7066142000258,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
5.74401131337158,152.133278836357,A,left,0.028720056566857898,14,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,105.79096870007925,None,left,1,0.8717001001350582,105.89134899992496,None,106.7924905999098,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
6.82181329196282,96.8463938784845,B,right,0.0341090664598141,15,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,107.87657220009714,None,right,1,0.7377768000587821,107.97712350008078,None,108.74446649989113,None,Antonella,001,2022-09-01_17h00.18.459,PruebaGabor2,2022.1.3,59.93461132954943,
