Frecuencia,Orientacion,Categoria,tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones2.started,Instrucciones2.stopped,Instrucciones.started,Instrucciones.stopped,instrucciones3.started,instrucciones3.stopped,Intrucciones1.started,Intrucciones1.stopped,text_2.started,text_2.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.8527873210936,96.309129997751,B,right,0.034263936605468,0,18,18,18,,,,,,,,,,,,,,,right,1,0.1908654998987913,62.66330119990744,None,62.563645399874076,None,62.88101919996552,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
6.7567322056875,99.1628345215938,B,right,0.0337836610284375,0,19,19,19,,,,,,,,,,,,,,,right,1,0.804586699930951,64.06535910000093,None,63.96523420000449,None,64.89970199996606,None,,,,,,,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.41918639978394,None,space,5.821941099828109,66.92026899987832,None,,,,,,,,,,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.64246301979566,151.842415984626,A,left,0.0282123150989783,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,72.87552469992079,None,left,1,1.110507900128141,72.97582959989086,None,74.11028729984537,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.67637314652613,152.575555839428,A,left,0.02838186573263065,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,75.19498289981857,None,left,1,0.6468346000183374,75.29529699985869,None,75.9621883998625,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.7247355425039,154.03874278342,A,left,0.028623677712519502,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,77.04732269980013,None,left,1,0.5552181999664754,77.14721769979224,None,77.73109859996475,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.66831440264113,151.24052997499,A,left,0.02834157201320565,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,78.81591019988991,None,left,1,0.25074639986269176,78.91568509978242,None,79.18352779978886,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.68636739568647,153.329127404444,A,left,0.02843183697843235,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,80.26749769994058,None,left,1,0.5516848000697792,80.35076159983873,None,80.93613299983554,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.69196780793982,151.604327615831,A,left,0.0284598390396991,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,82.01896569994278,None,left,1,0.7189779998734593,82.11917259986512,None,82.86993009992875,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.68415989431799,152.962848267664,A,left,0.028420799471589948,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,83.95474379998632,None,left,1,0.6318843001499772,84.05485969991423,None,84.70589859993197,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.66815347980876,153.591563614784,A,left,0.0283407673990438,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,85.79051859979518,None,left,1,0.651501800166443,85.89047829993069,None,86.57467679982074,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.69965680810536,156.239985831272,A,left,0.0284982840405268,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,87.65941570000723,None,left,1,0.6069362000562251,87.75928639993072,None,88.39351839991286,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.66592136151861,152.745850564368,A,left,0.028329606807593048,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,89.47799649997614,None,left,1,1.3402623999863863,89.5780775998719,None,90.94652439979836,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.68754023706492,153.592100226621,A,left,0.0284377011853246,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,92.03093479992822,None,left,1,2.474635099992156,92.13104139990173,None,94.63416089979,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.68863017280181,150.552756257467,A,left,0.02844315086400905,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,95.71857749996707,None,left,1,0.5396819999441504,95.81853579985909,None,96.38578049978241,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.69972834528702,153.930024675352,A,left,0.028498641726435098,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,97.47087599989027,None,left,1,0.3152282000519335,97.57072229986079,None,97.90425569983199,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
5.69127168042276,151.275921910184,A,left,0.0284563584021138,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,98.98906629998237,None,left,1,0.9172617001459002,99.08907099999487,None,100.02352429996245,None,,,,,Antonella,001,2022-09-01_16h44.51.361,PruebaGabor2,2022.1.3,59.829903612204795,
