"","count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad","Grupo.Lift.Off","Grupo.Lift.Off.Diff","Grupo.MoveTime"
"41",103,0,402,2,23,1,0,0,1,497,3150,1875,5,"Kelly dispensed the rations to you",1275,0,"Grupo A","Grupo A","Grupo B"
"42",104,0,402,2,24,1,1,0,1,334,2079,1567,25,"You handed the puppy to Katie",512,1,"Grupo A","Grupo A","Grupo B"
"43",105,0,402,2,25,1,0,0,1,375,2393,1926,7,"Sally slid you the cafeteria tray",467,0,"Grupo A","Grupo A","Grupo B"
"44",109,0,402,2,29,0,1,0,1,484,1786,1310,39,"You told Liz the story",476,0,"Grupo A","Grupo A","Grupo B"
"45",110,0,402,2,30,1,0,0,1,940,2155,1322,9,"Paul hit you the baseball",833,0,"Grupo A","Grupo A","Grupo B"
"46",117,0,402,2,37,0,0,0,1,487,2063,1508,17,"Chris offered you some writing tips",555,1,"Grupo A","Grupo A","Grupo B"
"47",119,0,402,2,39,1,1,0,1,478,1948,1634,24,"You entrusted the key to Jeff",314,1,"Grupo A","Grupo A","Grupo B"
"48",120,0,402,2,40,1,0,0,1,411,1660,1503,1,"Andy delivered the pizza to you",157,0,"Grupo A","Grupo A","Grupo B"
"49",121,0,402,2,41,1,1,0,1,615,2603,1645,27,"You kicked Joe the soccer ball",958,1,"Grupo A","Grupo A","Grupo B"
"50",122,0,402,2,42,0,0,0,1,430,1975,1746,12,"Tiana devoted her time to you",229,1,"Grupo A","Grupo A","Grupo B"
"51",123,0,402,2,43,0,1,0,1,370,2352,1724,37,"Ian received the complaint from you",628,0,"Grupo A","Grupo A","Grupo B"
"52",132,0,402,2,52,0,0,0,1,202,2625,1698,15,"Jesse gave you another chance",927,1,"Grupo A","Grupo A","Grupo B"
"53",133,0,402,2,53,1,0,0,1,439,2841,1704,10,"Adam conveyed the message to you",1137,0,"Grupo A","Grupo A","Grupo B"
"54",135,0,402,2,55,0,0,0,1,452,2450,1805,11,"Art bestowed the honor upon you",645,1,"Grupo A","Grupo A","Grupo B"
"55",138,0,402,2,58,0,0,0,1,620,1528,1369,14,"Jenni sang you a song",159,1,"Grupo A","Grupo A","Grupo B"
"56",139,0,402,2,59,0,1,0,1,621,1631,1371,32,"You sold the land to Mike",260,0,"Grupo A","Grupo A","Grupo B"
"57",141,0,402,2,61,1,1,0,1,554,2765,1620,28,"You shot Shawn the rubber band",1145,1,"Grupo A","Grupo A","Grupo B"
"58",142,0,402,2,62,1,1,0,1,395,1746,1637,22,"You donated money to Vincent",109,1,"Grupo A","Grupo A","Grupo B"
"59",143,0,402,2,63,1,0,0,1,425,1709,1433,4,"Amber drove the car to you",276,0,"Grupo A","Grupo A","Grupo B"
"60",145,0,402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson",434,1,"Grupo A","Grupo A","Grupo B"
"61",147,0,402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook",189,0,"Grupo A","Grupo A","Grupo B"
"62",149,0,402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you",209,0,"Grupo A","Grupo A","Grupo B"
"63",152,0,402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman",110,0,"Grupo A","Grupo A","Grupo B"
"64",153,0,402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea",525,1,"Grupo A","Grupo A","Grupo B"
"65",158,0,402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen",926,1,"Grupo A","Grupo A","Grupo B"
"66",159,0,402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you",162,1,"Grupo A","Grupo A","Grupo B"
"67",161,1,403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance",189,0,"Grupo A","Grupo A","Grupo B"
"68",162,0,403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you",216,0,"Grupo A","Grupo A","Grupo B"
"69",165,0,403,4,5,0,1,0,1,293,2020,1579,37,"You offered Chris some writing tips",441,0,"Grupo A","Grupo A","Grupo B"
"70",166,0,403,4,6,0,1,0,1,285,2228,1647,32,"You devoted your time to Tiana",581,0,"Grupo A","Grupo A","Grupo B"
"71",170,0,403,4,10,0,1,0,1,247,2588,1837,31,"You bestowed the honor upon Art",751,0,"Grupo A","Grupo A","Grupo B"
"72",172,0,403,4,12,0,0,0,1,278,3209,1724,17,"You received the complaint from Ian",1485,1,"Grupo A","Grupo A","Grupo B"
"73",173,0,403,4,13,1,0,0,1,448,1987,1523,7,"Joe kicked you the soccer ball",464,0,"Grupo A","Grupo A","Grupo B"
"74",175,0,403,4,15,1,1,0,1,410,2197,1293,29,"You hit Paul the baseball",904,1,"Grupo A","Grupo A","Grupo B"
"76",181,0,403,4,21,1,1,0,1,451,2049,1439,26,"You bought Christine ice cream",610,1,"Grupo A","Grupo A","Grupo B"
"77",183,0,403,4,23,1,0,0,1,1133,2031,1623,8,"Shawn shot you the rubber band",408,0,"Grupo A","Grupo A","Grupo B"
"78",184,0,403,4,24,1,1,0,1,395,2002,1321,24,"You drove the car to Amber",681,1,"Grupo A","Grupo A","Grupo B"
"79",187,0,403,4,27,0,1,0,1,293,2857,1507,40,"You pitched Andy the idea",1350,0,"Grupo A","Grupo A","Grupo B"
"80",189,0,403,4,29,0,1,0,1,383,1992,1639,33,"You dedicated the song to John",353,0,"Grupo A","Grupo A","Grupo B"
"81",193,0,403,4,33,1,0,0,1,524,1990,1233,6,"Diane threw you the pen",757,0,"Grupo A","Grupo A","Grupo B"
"82",194,0,403,4,34,0,0,0,1,336,2158,1874,13,"Sara transmitted the orders to you",284,1,"Grupo A","Grupo A","Grupo B"
"83",200,0,403,4,40,1,1,0,1,476,2042,1483,23,"You kicked the football to Jack",559,1,"Grupo A","Grupo A","Grupo B"
"84",202,0,403,4,42,0,0,0,1,637,2314,1304,18,"Amanda paid you tribute",1010,1,"Grupo A","Grupo A","Grupo B"
"85",204,0,403,4,44,1,1,0,1,486,1925,1681,21,"You delivered the Pizza to Andy",244,1,"Grupo A","Grupo A","Grupo B"
"86",206,0,403,4,46,0,0,0,1,386,1860,1371,20,"Your family sent you regards",489,1,"Grupo A","Grupo A","Grupo B"
"87",209,0,403,4,49,0,0,0,1,435,1534,1002,11,"Heather slipped you a note",532,1,"Grupo A","Grupo A","Grupo B"
"88",211,0,403,4,51,0,1,0,1,328,1913,1126,39,"You taught him a lesson",787,0,"Grupo A","Grupo A","Grupo B"
"89",212,0,403,4,52,1,1,0,1,240,1715,1485,22,"You awarded a medal to Helen",230,1,"Grupo A","Grupo A","Grupo B"
"90",221,0,403,4,61,0,0,0,1,384,2852,2184,14,"The policeman radioed the message to you",668,1,"Grupo A","Grupo A","Grupo B"
"91",224,0,403,4,64,1,0,0,1,351,2342,1347,9,"Mike rolled you the marble",995,0,"Grupo A","Grupo A","Grupo B"
"92",227,0,403,4,67,0,0,0,1,449,2155,1501,12,"Mike sold the land to you",654,1,"Grupo A","Grupo A","Grupo B"
"93",230,0,403,4,70,0,0,0,1,394,2190,2138,15,"Anna transferred responsibility to you",52,1,"Grupo A","Grupo A","Grupo B"
"95",235,0,403,4,75,1,0,0,1,328,1990,1693,4,"Jeff entrusted the key to you",297,0,"Grupo A","Grupo A","Grupo B"
"96",237,0,403,4,77,0,0,0,1,303,1655,1277,19,"Liz told you the story",378,1,"Grupo A","Grupo A","Grupo B"
"97",238,0,403,4,78,0,0,0,1,391,1872,1647,16,"Dan confessed his secret to you",225,1,"Grupo A","Grupo A","Grupo B"
"98",241,1,404,1,1,1,1,0,1,56,1748,1407,40,"You sent your family regards",341,1,"Grupo A","Grupo A","Grupo A"
"99",248,0,404,1,8,0,0,0,1,103,1956,1704,10,"Adam conveyed the message to you",252,1,"Grupo A","Grupo A","Grupo A"
"100",249,0,404,1,9,1,0,0,1,19,1988,1733,16,"Steve lavished you with praise",255,0,"Grupo A","Grupo A","Grupo A"
"101",250,0,404,1,10,1,1,0,1,7,2279,2034,35,"You transferred responsibility to Anna",245,1,"Grupo A","Grupo A","Grupo A"
"102",251,0,404,1,11,0,0,0,1,2,1782,1559,8,"Courtney handed you the notebook",223,1,"Grupo A","Grupo A","Grupo A"
"103",260,0,404,1,20,0,0,0,1,17,1907,1503,1,"Andy delivered the pizza to you",404,1,"Grupo A","Grupo A","Grupo A"
"104",261,0,404,1,21,0,0,0,1,20,2208,1875,5,"Kelly dispensed the rations to you",333,1,"Grupo A","Grupo A","Grupo A"
"105",262,0,404,1,22,1,0,0,1,83,1621,1022,19,"He taught you a lesson",599,0,"Grupo A","Grupo A","Grupo A"
"106",263,0,404,1,23,1,0,0,1,121,1743,1698,15,"Jesse gave you another chance",45,0,"Grupo A","Grupo A","Grupo A"
