"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
408,1,0,317,Grupo B,1489
408,0,1,359,Grupo B,1310
408,0,0,443,Grupo B,1022
409,0,0,1096,Grupo B,1501
409,0,0,319,Grupo B,1277
409,0,1,320,Grupo B,1635
409,1,1,306,Grupo B,1321
409,1,0,242,Grupo B,1693
409,0,0,797,Grupo B,1304
409,0,0,639,Grupo B,2184
409,1,0,1290,Grupo B,1523
409,0,1,980,Grupo B,1507
409,0,1,1056,Grupo B,1579
409,1,1,2290,Grupo B,1485
409,1,0,677,Grupo B,1579
409,0,0,563,Grupo B,1874
409,0,0,939,Grupo B,1647
409,1,1,654,Grupo B,1439
409,0,0,473,Grupo B,2138
409,1,1,509,Grupo B,1681
409,0,0,815,Grupo B,1002
409,0,1,542,Grupo B,1126
409,1,0,569,Grupo B,1460
409,1,1,743,Grupo B,2109
409,1,0,555,Grupo B,1473
409,1,1,309,Grupo B,1744
409,1,1,461,Grupo B,1746
409,0,1,1689,Grupo B,1837
409,0,0,717,Grupo B,1371
409,0,1,633,Grupo B,1390
409,0,1,162,Grupo B,1639
409,0,0,354,Grupo B,1724
409,1,1,640,Grupo B,1293
409,1,0,367,Grupo B,1623
409,1,0,353,Grupo B,1646
409,1,1,313,Grupo B,1511
409,1,0,636,Grupo B,1347
409,1,0,1226,Grupo B,1684
409,1,1,343,Grupo B,1483
410,0,0,961,Grupo B,1390
410,0,0,1167,Grupo B,1508
410,0,1,648,Grupo B,1310
410,0,0,865,Grupo B,1369
410,1,0,1027,Grupo B,1926
410,0,1,565,Grupo B,2034
410,0,0,483,Grupo B,1472
410,1,0,721,Grupo B,1322
410,0,1,72,Grupo B,1856
410,1,1,542,Grupo B,1936
410,0,1,918,Grupo B,1724
410,1,1,2207,Grupo B,1427
410,1,1,3033,Grupo B,1620
410,1,0,1052,Grupo B,1396
410,0,1,1946,Grupo B,2065
410,0,1,558,Grupo B,1270
410,1,0,1144,Grupo B,1559
410,0,0,425,Grupo B,1746
410,1,1,440,Grupo B,1637
410,1,1,2092,Grupo B,1422
410,0,0,543,Grupo B,1696
410,0,0,150,Grupo B,1698
410,0,1,628,Grupo B,1407
410,1,1,796,Grupo B,1645
410,1,0,440,Grupo B,1503
410,0,0,1875,Grupo B,1805
410,1,0,1164,Grupo B,1875
410,1,0,674,Grupo B,1534
410,1,1,2438,Grupo B,1364
410,1,1,510,Grupo B,1567
410,0,1,337,Grupo B,1371
410,0,1,504,Grupo B,1600
411,1,1,214,Grupo A,1635
411,1,0,554,Grupo A,1002
411,0,0,176,Grupo A,1693
411,1,0,361,Grupo A,1371
411,1,1,381,Grupo A,1126
411,0,1,326,Grupo A,1483
411,0,1,280,Grupo A,1681
411,0,0,476,Grupo A,1623
411,1,1,370,Grupo A,1390
411,1,0,730,Grupo A,1647
411,1,0,314,Grupo A,1277
411,0,1,1244,Grupo A,2109
411,0,1,1049,Grupo A,1746
411,0,1,203,Grupo A,1439
411,1,1,593,Grupo A,1647
411,0,1,261,Grupo A,1511
411,0,0,748,Grupo A,1579
411,0,0,646,Grupo A,1460
411,0,1,470,Grupo A,1293
411,1,0,586,Grupo A,2184
411,0,0,371,Grupo A,1523
411,1,0,680,Grupo A,1304
411,0,1,225,Grupo A,1321
411,0,0,168,Grupo A,1473
411,0,0,145,Grupo A,1684
411,1,0,392,Grupo A,2138
411,1,1,666,Grupo A,1507
411,1,1,-1362,Grupo A,1579
411,1,0,440,Grupo A,1501
411,1,0,438,Grupo A,1874
411,0,0,811,Grupo A,1646
411,1,1,1006,Grupo A,1307
411,0,0,538,Grupo A,1347
411,0,0,719,Grupo A,1233
411,1,0,356,Grupo A,1724
411,1,1,113,Grupo A,1639
411,1,1,644,Grupo A,1837
412,0,1,383,Grupo A,1567
412,1,0,246,Grupo A,1369
412,1,0,272,Grupo A,1022
412,0,1,316,Grupo A,1634
412,0,0,721,Grupo A,1489
412,1,1,189,Grupo A,2034
412,1,1,200,Grupo A,1310
412,1,0,379,Grupo A,1733
412,1,0,-52,Grupo A,1698
412,1,1,473,Grupo A,1407
412,0,0,213,Grupo A,1503
412,0,1,519,Grupo A,1620
412,1,1,568,Grupo A,1182
412,0,1,817,Grupo A,1364
412,0,0,1001,Grupo A,1322
412,1,0,664,Grupo A,1508
412,0,1,172,Grupo A,1186
412,0,0,247,Grupo A,1875
412,0,0,432,Grupo A,1534
412,0,1,391,Grupo A,1427
412,1,1,840,Grupo A,1600
412,1,1,326,Grupo A,1371
412,0,0,175,Grupo A,1704
412,0,0,128,Grupo A,1396
412,0,1,1565,Grupo A,1645
412,1,1,164,Grupo A,1856
412,1,1,593,Grupo A,1724
412,0,0,192,Grupo A,1559
412,0,0,294,Grupo A,1926
412,1,0,461,Grupo A,1390
412,0,1,243,Grupo A,1637
412,0,0,973,Grupo A,1433
412,1,0,184,Grupo A,1472
412,1,0,275,Grupo A,1696
412,0,1,306,Grupo A,1422
413,1,0,937,Grupo B,1647
413,0,1,2308,Grupo B,1744
413,0,0,1017,Grupo B,1623
413,0,0,668,Grupo B,1233
413,0,1,1155,Grupo B,2109
413,0,0,1162,Grupo B,1347
413,1,1,288,Grupo B,1126
413,0,0,520,Grupo B,1646
413,1,1,424,Grupo B,1579
413,1,0,654,Grupo B,1501
413,0,0,772,Grupo B,1579
413,1,0,126,Grupo B,1724
413,0,0,937,Grupo B,1523
413,1,0,428,Grupo B,1304
413,0,1,625,Grupo B,1293
413,0,0,427,Grupo B,1684
413,1,1,259,Grupo B,1639
413,0,1,693,Grupo B,1485
413,0,1,867,Grupo B,1483
413,0,0,449,Grupo B,1473
413,1,1,302,Grupo B,1507
413,1,0,1231,Grupo B,1002
413,0,1,200,Grupo B,1511
413,0,1,139,Grupo B,1681
413,1,1,867,Grupo B,1307
413,1,1,694,Grupo B,1390
413,1,0,334,Grupo B,2138
413,1,1,308,Grupo B,1837
413,1,0,752,Grupo B,1874
413,1,1,432,Grupo B,1635
413,0,1,1911,Grupo B,1321
413,1,1,45,Grupo B,1647
413,0,1,229,Grupo B,1439
413,1,0,3202,Grupo B,1277
413,1,0,641,Grupo B,2184
414,0,0,66,Grupo A,1371
414,0,0,2642,Grupo A,1647
414,0,1,147,Grupo A,1837
414,1,1,-172,Grupo A,2109
414,0,0,212,Grupo A,1277
414,0,1,873,Grupo A,1579
414,1,0,192,Grupo A,1623
414,1,1,468,Grupo A,1321
414,1,0,267,Grupo A,1473
414,0,0,828,Grupo A,1874
414,0,0,935,Grupo A,1501
414,0,1,663,Grupo A,1639
414,1,1,248,Grupo A,1511
414,1,0,375,Grupo A,1347
414,1,1,936,Grupo A,1681
414,1,0,261,Grupo A,1579
414,0,0,206,Grupo A,2138
414,0,1,587,Grupo A,1390
414,0,1,363,Grupo A,1635
414,0,1,1252,Grupo A,1126
415,1,1,281,Grupo A,1724
415,1,0,878,Grupo A,1022
415,1,0,477,Grupo A,1698
415,1,0,1159,Grupo A,1390
415,1,1,392,Grupo A,1270
415,1,1,351,Grupo A,1371
415,1,0,241,Grupo A,1369
415,0,0,563,Grupo A,1489
415,1,1,354,Grupo A,1407
415,0,0,218,Grupo A,1503
415,1,0,676,Grupo A,1508
415,0,0,1200,Grupo A,1926
415,1,1,890,Grupo A,1856
415,1,0,1432,Grupo A,1733
415,0,1,410,Grupo A,1186
415,1,0,307,Grupo A,1696
415,0,0,291,Grupo A,1534
415,0,0,204,Grupo A,1396
415,0,1,351,Grupo A,1637
415,1,1,793,Grupo A,1310
415,0,0,133,Grupo A,1704
415,0,1,260,Grupo A,1567
415,0,1,514,Grupo A,1645
415,1,1,762,Grupo A,2065
415,1,1,227,Grupo A,1600
415,0,1,620,Grupo A,1634
415,0,0,988,Grupo A,1559
415,0,1,1053,Grupo A,1427
415,1,0,408,Grupo A,1746
415,0,0,2797,Grupo A,1322
416,0,0,289,Grupo A,1733
416,0,1,302,Grupo A,1600
416,0,0,281,Grupo A,1805
416,1,1,47,Grupo A,1637
416,0,0,446,Grupo A,1369
416,0,1,129,Grupo A,2034
416,0,1,361,Grupo A,1270
416,0,0,361,Grupo A,1022
416,0,1,213,Grupo A,1371
416,1,1,159,Grupo A,1567
416,0,1,278,Grupo A,1310
416,1,0,156,Grupo A,1704
416,1,1,27,Grupo A,1620
416,0,0,45,Grupo A,1746
416,1,1,383,Grupo A,1427
416,1,0,239,Grupo A,1503
416,1,0,1247,Grupo A,1534
416,0,0,389,Grupo A,1508
